SE NUM,MERCHANT LEVEL,MERCHANT ID,MERCHANTSTARTDATE, MERCHANTENDDATE,MERCHANTNAME
9302073565,C,,5/8/2013,6/20/2013,BELLEVILLE GENERAL HSPTL      
9302095311,C,,5/8/2013,6/20/2013,HAPPY DAYZ                    
9302108114,C,,5/8/2013,6/20/2013,THE PHILOSOPHER'S STONE       
9302111746,C,,5/8/2013,6/20/2013,CROSS ROAD GAS                
9302125308,C,,5/8/2013,6/20/2013,TIREMASTER LIMITED            
9302128021,C,,5/8/2013,6/20/2013,3ZONES HOCKEY SCHOOL          
9302128286,C,,5/8/2013,6/20/2013,PURE + SIMPLE                 
9302142105,C,,5/8/2013,6/20/2013,CHEEKY MONKEY INC.            
9302143418,C,,5/8/2013,6/20/2013,SWISS CHALET                  
9302146684,C,,5/8/2013,6/20/2013,SCHNEIDER'S COMPUTING         
9302146981,C,,5/8/2013,6/20/2013,NINE WAVES                    
9302151940,C,,5/8/2013,6/20/2013,ALTRUCK INTERNATIONAL TRU     
9302160545,C,,5/8/2013,6/20/2013,ARCHER TRUCK SERVICES LTD     
9302162566,C,,5/8/2013,6/20/2013,CENTRON SELF STORAGE CHES     
9302165130,C,,5/8/2013,6/20/2013,CRATE&BARREL CA HOUSEWARE     
9302177408,C,,5/8/2013,6/20/2013,ERUDIT RUSSIAN BOOKS          
9302187597,C,,5/8/2013,6/20/2013,STORE N SAVE                  
9302195574,C,,5/8/2013,6/20/2013,GEORGIAN BAY PROPANE          
9302215109,C,,5/8/2013,6/20/2013,WESTERN FAIR ASSOCIATION      
9302227070,C,,5/8/2013,6/20/2013,SERENDIB PAINTS AND DECOR     
9302227716,C,,5/8/2013,6/20/2013,IIBS INC                      
9302231585,C,,5/8/2013,6/20/2013,TRINITY COLLEGE SCHOOL        
9302239075,C,,5/8/2013,6/20/2013,SECOND CUP # 09139# QFF       
9302249553,C,,5/8/2013,6/20/2013,PAPA JOHN'S PIZZA WELLING     
9302255485,C,,5/8/2013,6/20/2013,RIPLEYS BELIEVE IT OR NOT     
9302267787,C,,5/8/2013,6/20/2013,CANADIAN AESTHETIC ACADEM     
9302280137,C,,5/8/2013,6/20/2013,SWISS CHALET #1942            
9302293700,C,,5/8/2013,6/20/2013,LIQUIDATION CENTER OF CAN     
9302297891,C,,5/8/2013,6/20/2013,SWISS CHALET #1173            
9302298923,C,,5/8/2013,6/20/2013,ENTERPRISE RAC CY99           
9302299319,C,,5/8/2013,6/20/2013,CELESTIAL REGISTERED MASS     
9302299343,C,,5/8/2013,6/20/2013,ESSA VALLEY LILIES            
9302299582,C,,5/8/2013,6/20/2013,TAXI SERVICES                 
9302300067,C,,5/8/2013,6/20/2013,ONT NORTHLAND TRANS COMM      
9302305058,C,,5/8/2013,6/20/2013,MIND GAMES                    
9302308789,C,,5/8/2013,6/20/2013,REIDS PRECAST CEMENT PROD     
9302310066,C,,5/8/2013,6/20/2013,BIG BEE FOOD MART             
9302310108,C,,5/8/2013,6/20/2013,PIONEER SALES                 
9302310942,C,,5/8/2013,6/20/2013,CAR PARK 1138 BATHURST ST     
9302313599,C,,5/8/2013,6/20/2013,COMMONS DRY CLEANERS          
9302314670,C,,5/8/2013,6/20/2013,EXOVA                         
9302314712,C,,5/8/2013,6/20/2013,WORLDBRIDGE SERVICES-OTTA     
9302314878,C,,5/8/2013,6/20/2013,THE TRAVEL FIRM               
9302323572,C,,5/8/2013,6/20/2013,SILK PLANT WAREHOUSE          
9302325023,C,,5/8/2013,6/20/2013,CAN PARK SERVICES             
9302327243,C,,5/8/2013,6/20/2013,SETA INVESTMENTS              
9302331922,C,,5/8/2013,6/20/2013,OAKWOOD INN CLUBHOUSE PUB     
9302340667,C,,5/8/2013,6/20/2013,HARVEY'S #0002550# QFF        
9302342754,C,,5/8/2013,6/20/2013,RIVERSIDE SOUTH MEDICAL       
9302345757,C,,5/8/2013,6/20/2013,CALEDON PROPANE INC.          
9302345765,C,,5/8/2013,6/20/2013,NEPHIN & WINTER CHARTERED     
9302356812,C,,5/8/2013,6/20/2013,BLUE BALLS                    
9302357448,C,,5/8/2013,6/20/2013,CAR PARK LOT #75              
9302360277,C,,5/8/2013,6/20/2013,YAZZ CLEANERS                 
9302366902,C,,5/8/2013,6/20/2013,BROOKFIELD PLACE              
9302368973,C,,5/8/2013,6/20/2013,VENUS BEAUTY SUPPLIES LTD     
9302369013,C,,5/8/2013,6/20/2013,FIVE GUYS BURGERS & FRIES     
9302381604,C,,5/8/2013,6/20/2013,LAURIN OPTOMETRY              
9302387890,C,,5/8/2013,6/20/2013,FUTURE WIRELESS COMM (SC)     
9302392882,C,,5/8/2013,6/20/2013,JUICY COUTURE CANADA          
9302394516,C,,5/8/2013,6/20/2013,THE BEACH TANNING SALON       
9302394532,C,,5/8/2013,6/20/2013,NICK'S CLEANERS               
9302399093,C,,5/8/2013,6/20/2013,D'MEDICI FOOTWEAR             
9302400016,C,,5/8/2013,6/20/2013,YVR                           
9302400065,C,,5/8/2013,6/20/2013,AERO MEXICO BSP CANADA        
9302400073,C,,5/8/2013,6/20/2013,UNITED AIRLINES               
9302400255,C,,5/8/2013,6/20/2013,LACSA AIRLINES                
9302417275,C,,5/8/2013,6/20/2013,DEMOL'S TIRE SALES & SERV     
9302424982,C,,5/8/2013,6/20/2013,RICKBI HEARING CLINIC         
9302426508,C,,5/8/2013,6/20/2013,O.N.A.S. COMMUNICATIONS       
9302428397,C,,5/8/2013,6/20/2013,DYMONMINE                     
9302441093,C,,5/8/2013,6/20/2013,LA SHOE                       
9302442307,C,,5/8/2013,6/20/2013,JIFFY LUBE                    
9302444857,C,,5/8/2013,6/20/2013,GLEBE FITNESS                 
9302450136,C,,5/8/2013,6/20/2013,THE CORPORATION OF THE CI     
9302452157,C,,5/8/2013,6/20/2013,LID #305776                   
9302461257,C,,5/8/2013,6/20/2013,HAWKESBURY ANIMAL HOSPITA     
9302465282,C,,5/8/2013,6/20/2013,DR. SANDHU BOVAIRD/CHINGU     
9302465647,C,,5/8/2013,6/20/2013,FLOWERS BY SEARS              
9302472122,C,,5/8/2013,6/20/2013,LOUIES SPORTSWEAR AND PRO     
9302484606,C,,5/8/2013,6/20/2013,JOSHUA PERETS 33              
9302486262,C,,5/8/2013,6/20/2013,AJAX PUBLIC LIBRARY           
9302522215,C,,5/8/2013,6/20/2013,SUPPLEMENT SOURCE             
9302527032,C,,5/8/2013,6/20/2013,KRUGER INC.                   
9302527412,C,,5/8/2013,6/20/2013,STEPPING OUT                  
9302527883,C,,5/8/2013,6/20/2013,MONSTER BLOWOUT HALLOWEEN     
9302536801,C,,5/8/2013,6/20/2013,STORE N SAVE                  
9302538377,C,,5/8/2013,6/20/2013,URBANA COFFEE                 
9302539466,C,,5/8/2013,6/20/2013,STORE N SAVE                  
9302544821,C,,5/8/2013,6/20/2013,OPTOMETRIST - DR J MORRIS     
9302545828,C,,5/8/2013,6/20/2013,DR. DONKO                     
9302550612,C,,5/8/2013,6/20/2013,CLEVELANDS HOUSE              
9302550703,C,,5/8/2013,6/20/2013,HILLARY CLEANERS - WELLIN     
9302555322,C,,5/8/2013,6/20/2013,CELLULAR UNLIMITED            
9302564910,C,,5/8/2013,6/20/2013,NCR CANADA LTD                
9302572681,C,,5/8/2013,6/20/2013,BRAND NAMES 2 GO              
9302578845,C,,5/8/2013,6/20/2013,SUPER LUBE                    
9302591608,C,,5/8/2013,6/20/2013,BIG IT UP INTERNATIONAL       
9302593265,C,,5/8/2013,6/20/2013,GETTICKETS.CA                 
9302607727,C,,5/8/2013,6/20/2013,CANADA POST FRANCHISE         
9302608394,C,,5/8/2013,6/20/2013,GALAPAGOS TOURS               
9302626479,C,,5/8/2013,6/20/2013,KEMBER HARDWOOD FLOORING      
9302627220,C,,5/8/2013,6/20/2013,CAA KINGSTON                  
9302688628,C,,5/8/2013,6/20/2013,DELTA OPTICAL SQUARE ONE      
9302700084,C,,5/8/2013,6/20/2013,UNITED AIRLINES               
9302704045,C,,5/8/2013,6/20/2013,KOREAN AIRLINES               
9302704078,C,,5/8/2013,6/20/2013,PHILIPPINE AIRLINES           
9302704094,C,,5/8/2013,6/20/2013,HAWAIIAN AIRLINES             
9302705026,C,,5/8/2013,6/20/2013,AVIANCA AIRLINES              
9302705042,C,,5/8/2013,6/20/2013,ALITALIA                      
9302705067,C,,5/8/2013,6/20/2013,ALASKA AIRLINES INC           
9302707360,C,,5/8/2013,6/20/2013,HOME PLUS                     
9302731543,C,,5/8/2013,6/20/2013,NORTHERN SPIRIT               
9302733747,C,,5/8/2013,6/20/2013,FOODLAND #6268                
9302736583,C,,5/8/2013,6/20/2013,BUFFALO WILD WINGS            
9302741542,C,,5/8/2013,6/20/2013,ROBERT Q AIRBUS               
9302741575,C,,5/8/2013,6/20/2013,MARGARITAVILLE NIAGARA FA     
9302743241,C,,5/8/2013,6/20/2013,HERBAL ONE                    
9302754008,C,,5/8/2013,6/20/2013,JOURNEYS #835005              
9302760534,C,,5/8/2013,6/20/2013,DUVET COMFORT INC             
9302765608,C,,5/8/2013,6/20/2013,VALET CAR WASH                
9302773495,C,,5/8/2013,6/20/2013,MILESTONE'S # 5219            
9302785069,C,,5/8/2013,6/20/2013,THE STONE CENTRE              
9302788683,C,,5/8/2013,6/20/2013,THE UPS STORE #400            
9302792446,C,,5/8/2013,6/20/2013,TUBS- MARKHAM                 
9302799169,C,,5/8/2013,6/20/2013,FESTIVAL TENT & PARTY REN     
9302800298,C,,5/8/2013,6/20/2013,NOLITOURS                     
9302802401,C,,5/8/2013,6/20/2013,ACCESS STORAGE                
9302841375,C,,5/8/2013,6/20/2013,THE MONTEREY HOTEL            
9302842118,C,,5/8/2013,6/20/2013,SUNRISE BAR AND RESTAURAN     
9302845616,C,,5/8/2013,6/20/2013,JM (CANADA) INC.              
9302846044,C,,5/8/2013,6/20/2013,JOSHUA PERETS 45              
9302850467,C,,5/8/2013,6/20/2013,YHM GRILL  BAR  PATIO         
9302858312,C,,5/8/2013,6/20/2013,CUBE WORKS STUDIO             
9302860227,C,,5/8/2013,6/20/2013,LATHAM SPLASH CANADA INC      
9302862876,C,,5/8/2013,6/20/2013,EUROSPORTS MARKHAM            
9302864955,C,,5/8/2013,6/20/2013,ATCAN APPLE SELF STORAGE      
9302867735,C,,5/8/2013,6/20/2013,THE POTTERY SUPPLY HOUSE      
9302869319,C,,5/8/2013,6/20/2013,DYMON SELF STORAGE - COV      
9302870283,C,,5/8/2013,6/20/2013,STURGEON FALLS KOA            
9302872313,C,,5/8/2013,6/20/2013,JOURNEYS #835012              
9302892089,C,,5/8/2013,6/20/2013,PACIFIC GATEWAY INTL CLG      
9302905014,C,,5/8/2013,6/20/2013,OFFICE COFFEE SOLUTIONS       
9302905048,C,,5/8/2013,6/20/2013,ENTERTAINMENT OVERLOAD        
9302910600,C,,5/8/2013,6/20/2013,JOURNEYS #835019              
9302921136,C,,5/8/2013,6/20/2013,OTTAWA INTERNATIONALS SOC     
9302922712,C,,5/8/2013,6/20/2013,WAUPOOS ESTATES WINERY        
9302926762,C,,5/8/2013,6/20/2013,KELSEYS #7664                 
9302931705,C,,5/8/2013,6/20/2013,FOODLAND #6735                
9302943510,C,,5/8/2013,6/20/2013,MILLCROFT CATERING            
9302961512,C,,5/8/2013,6/20/2013,ISLAND INK JET-ORLEANS        
9302963302,C,,5/8/2013,6/20/2013,THE GARDNER GALLERIES         
9302966586,C,,5/8/2013,6/20/2013,KABOOM.COM                    
9302968251,C,,5/8/2013,6/20/2013,MOUNTAIN VISTA VETERINARY     
9302968657,C,,5/8/2013,6/20/2013,FIVE GUYS BURGERS & FRIES     
9302970331,C,,5/8/2013,6/20/2013,DAVE'S WORLD                  
9302971735,C,,5/8/2013,6/20/2013,LIDS LOCKER ROOM #305798      
9302992996,C,,5/8/2013,6/20/2013,KABOOM.COM                    
9302997870,C,,5/8/2013,6/20/2013,ACCESS STORAGE                
9302998159,C,,5/8/2013,6/20/2013,MCDONALD RESTAURANT           
9303001615,C,,5/8/2013,6/20/2013,LIDS #307708                  
9303007687,C,,5/8/2013,6/20/2013,DOMINO'S PIZZA # 10262        
9303615166,C,,5/8/2013,6/20/2013,PENSKE TRUCK LEASING          
9303907001,C,,5/8/2013,6/20/2013,AVIS CANADA                   
9303940366,C,,5/8/2013,6/20/2013,ENTERPRISE RAC                
9304460182,C,,5/8/2013,6/20/2013,SUGAR & SPICE CHOCOLATE       
9304504955,C,,5/8/2013,6/20/2013,SHORT MAN BY BROWN'S          
9304507024,C,,5/8/2013,6/20/2013,NUCREATION FASHIONS LTD       
9304510143,C,,5/8/2013,6/20/2013,SHEPHERD'S                    
9304512107,C,,5/8/2013,6/20/2013,OPTIONS FOR HER               
9304513675,C,,5/8/2013,6/20/2013,ANDERSON FLOWERS & GIFTS      
9304619167,C,,5/8/2013,6/20/2013,SOUVENIR CITY                 
9304729735,C,,5/8/2013,6/20/2013,FLOYD'S GLASS                 
9304730097,C,,5/8/2013,6/20/2013,ESQUIRE FASHIONS              
9304817506,C,,5/8/2013,6/20/2013,ZIGGY'S FANTASTIC FOODS       
9304826051,C,,5/8/2013,6/20/2013,ONE STOP BRAKE                
9304827067,C,,5/8/2013,6/20/2013,Y.M.C.A OF GREATERTORONTO     
9304830590,C,,5/8/2013,6/20/2013,MIDTOWN FURNITURE LTD         
9304851265,C,,5/8/2013,6/20/2013,MERCURY BLUEPRINTING          
9304851307,C,,5/8/2013,6/20/2013,KIRBY HICKMAN TORONTO         
9304855993,C,,5/8/2013,6/20/2013,CARSWELL A THOMSON REUTER     
9304860100,C,,5/8/2013,6/20/2013,CANADIAN STANDARDS ASSOCI     
9304861785,C,,5/8/2013,6/20/2013,MRS. TIGGY WINKLE'S           
9304865554,C,,5/8/2013,6/20/2013,SANDY WHITE                   
9304867444,C,,5/8/2013,6/20/2013,HONEY'S                       
9304870471,C,,5/8/2013,6/20/2013,MORNINGSTAR TRADING CO LT     
9304871701,C,,5/8/2013,6/20/2013,TIMOTHY'S COFFEES OF WRLD     
9304873566,C,,5/8/2013,6/20/2013,GREAT METROPOLITAN SOUND      
9304876593,C,,5/8/2013,6/20/2013,MASTERBEDROOM INC             
9304883334,C,,5/8/2013,6/20/2013,TELEFLORA CANADA INC          
9304916852,C,,5/8/2013,6/20/2013,CHRISTOPHER CLOTHES LTD       
9304996508,C,,5/8/2013,6/20/2013,KERNELS                       
9305035470,C,,5/8/2013,6/20/2013,PROGRESS LUV2PAK INTL LTD     
9305106198,C,,5/8/2013,6/20/2013,URBAN TRAVELLER               
9305200777,C,,5/8/2013,6/20/2013,DUNNETTE OVERGAARD JWLRS      
9305201403,C,,5/8/2013,6/20/2013,JORDAN STUART JEWELLERS       
9305201809,C,,5/8/2013,6/20/2013,JUBILEE JEWELLERS INC         
9305203672,C,,5/8/2013,6/20/2013,RINGS ETCETERA JEWELLERS      
9305205594,C,,5/8/2013,6/20/2013,SUMNER JEWELLERS              
9305249998,C,,5/8/2013,6/20/2013,KAREN'S FINE JEWELRY INC      
9305305386,C,,5/8/2013,6/20/2013,ROADPOST                      
9305308810,C,,5/8/2013,6/20/2013,ATTN: AMIR LUBELSKI           
9305335458,C,,5/8/2013,6/20/2013,DEIR ELECTRONICS              
9305340912,C,,5/8/2013,6/20/2013,ALGONQUIN OUTFITTERS          
9305500176,C,,5/8/2013,6/20/2013,TIRECO CANADA                 
9305501281,C,,5/8/2013,6/20/2013,ROGERS CABLESYSTEMS           
9305543648,C,,5/8/2013,6/20/2013,LENCO WELDING ACCES LTD       
9305551195,C,,5/8/2013,6/20/2013,KUDA GALLERY IMPORTS          
9305562119,C,,5/8/2013,6/20/2013,BIJOU                         
9305690688,C,,5/8/2013,6/20/2013,DRUG TRADING-INDEPENDENT      
9305700362,C,,5/8/2013,6/20/2013,THE BAY                       
9305701824,C,,5/8/2013,6/20/2013,SEARS/CATALOGUE GROUP         
9305705114,C,,5/8/2013,6/20/2013,WAL-MART                      
9305923808,C,,5/8/2013,6/20/2013,WESTBURNE INDUSTRIAL ENT      
9305935497,C,,5/8/2013,6/20/2013,MAC AT ALDEN EMPLOYEE STO     
9305940786,C,,5/8/2013,6/20/2013,TIREMASTER LIMITED            
9305941420,C,,5/8/2013,6/20/2013,MINI WOODBRIDGE               
9305946205,C,,5/8/2013,6/20/2013,JACADI                        
9306412835,C,,5/8/2013,6/20/2013,MUFFLERMAN                    
9306439770,C,,5/8/2013,6/20/2013,BARNES DISTRIBUTION           
9306503823,C,,5/8/2013,6/20/2013,AAROPORT LIMOUSINE SRVCS      
9306504128,C,,5/8/2013,6/20/2013,ROY THOMSON HALL              
9306504235,C,,5/8/2013,6/20/2013,U-HAUL OF CANADA              
9306529695,C,,5/8/2013,6/20/2013,PRESENTATION SVC HEAD OFF     
9306532343,C,,5/8/2013,6/20/2013,INTERNETSECURE                
9306563009,C,,5/8/2013,6/20/2013,HAKIM OPTICAL                 
9306591562,C,,5/8/2013,6/20/2013,UPS BROK 1-888-520-9090       
9306597759,C,,5/8/2013,6/20/2013,CDN NATL SPRTSMN SHOW LTD     
9306640765,C,,5/8/2013,6/20/2013,OSHAWA GENERAL HOSPITAL       
9306651457,C,,5/8/2013,6/20/2013,SIGMA-ALDRICH CANADA LTD      
9306703779,C,,5/8/2013,6/20/2013,TENNIS CANADA                 
9306731606,C,,5/8/2013,6/20/2013,STANLEY SEC SOL CANADA CO     
9306800443,C,,5/8/2013,6/20/2013,UNITED RNTLS-ONTARIO DIST     
9306979916,C,,5/8/2013,6/20/2013,YMCA OF OAKVILLE              
9308400028,C,,5/8/2013,6/20/2013,SHELL-KIOSK                   
9308447094,C,,5/8/2013,6/20/2013,XTR ENERGY                    
9308448902,C,,5/8/2013,6/20/2013,PETRO-CANADA INC              
9308480558,C,,5/8/2013,6/20/2013,SEAWAY GAS & FUELS LTD        
9310001616,C,,5/8/2013,6/20/2013,SKYLINK VOYAGES INC           
9310011037,C,,5/8/2013,6/20/2013,MONDEMAG                      
9310054888,C,,5/8/2013,6/20/2013,FDTN QC CANCER CAP PHYSCL     
9310104758,C,,5/8/2013,6/20/2013,ROYAL TERRACE APT HOTEL       
9310105508,C,,5/8/2013,6/20/2013,AUBERGE DE LA CHOUETTE        
9310105623,C,,5/8/2013,6/20/2013,HTL MOTEL SEPT ILES           
9310108361,C,,5/8/2013,6/20/2013,HOTEL SEPIA                   
9310171492,C,,5/8/2013,6/20/2013,BEDERA                        
9310288114,C,,5/8/2013,6/20/2013,BIJOUTERIE MONACO             
9310342077,C,,5/8/2013,6/20/2013,FANTASIA                      
9310343018,C,,5/8/2013,6/20/2013,NOVEXCO INC                   
9310375861,C,,5/8/2013,6/20/2013,POTVIN & BOUCHARD INC.        
9310380341,C,,5/8/2013,6/20/2013,L'ORGANISATION DE LA JEUN     
9310510764,C,,5/8/2013,6/20/2013,MOTEL IDEAL PONT-VIAU         
9310579710,C,,5/8/2013,6/20/2013,CR001 QUEBEC                  
9310626933,C,,5/8/2013,6/20/2013,BIBA SIGNATURE                
9310647806,C,,5/8/2013,6/20/2013,PIECES D'AUTO JEAN-TALON      
9310650974,C,,5/8/2013,6/20/2013,BOUTIQUE HORS-TAXES PHILI     
9310667499,C,,5/8/2013,6/20/2013,CONCEPTION CUIR               
9310670014,C,,5/8/2013,6/20/2013,EUREKA SOLUTIONS              
9310671459,C,,5/8/2013,6/20/2013,INSPEC SOL INC                
9310681151,C,,5/8/2013,6/20/2013,BELVU CROISIERE BOUTIQUE      
9310704011,C,,5/8/2013,6/20/2013,LES IMPORTATIONS BRIAN        
9310708129,C,,5/8/2013,6/20/2013,MITCHELL LINCOLN PKG          
9310717625,C,,5/8/2013,6/20/2013,CHAUSSURES VERONA             
9310731477,C,,5/8/2013,6/20/2013,CAFE BISTRO FIN GOURMET       
9310756250,C,,5/8/2013,6/20/2013,IMPRIMERIE LEONARD            
9310760369,C,,5/8/2013,6/20/2013,FLORAL NEXUS                  
9310765806,C,,5/8/2013,6/20/2013,NETTOYEUR EXPRESS             
9310767752,C,,5/8/2013,6/20/2013,NETTOYEUR DAOUST              
9310770848,C,,5/8/2013,6/20/2013,CHAUSSURES FILLION SPORT      
9310776068,C,,5/8/2013,6/20/2013,NETTOYEURS DAOUST             
9310776910,C,,5/8/2013,6/20/2013,JOSHUA PERETS 13              
9310788790,C,,5/8/2013,6/20/2013,CEO MEDIC ST-EUSTACHE         
9310795514,C,,5/8/2013,6/20/2013,HYDRAULIQUE SERVICE           
9310797361,C,,5/8/2013,6/20/2013,VOYAGES CHARTIER              
9310800561,C,,5/8/2013,6/20/2013,LES CAFES SUMMUM LA BAIE      
9310801494,C,,5/8/2013,6/20/2013,LANIEL PRODAMEX INC           
9310839734,C,,5/8/2013,6/20/2013,LA CACHE # 110                
9310847026,C,,5/8/2013,6/20/2013,FUTUR PLUS/VISTA ELECTRIC     
9310852091,C,,5/8/2013,6/20/2013,KOA BAS ST LAURENT            
9310887626,C,,5/8/2013,6/20/2013,ECONOVIN                      
9310910790,C,,5/8/2013,6/20/2013,CINEPLEX STARBURST INC        
9310925517,C,,5/8/2013,6/20/2013,JOSHUA PERETS 35              
9310926937,C,,5/8/2013,6/20/2013,LIDS #305783                  
9310935532,C,,5/8/2013,6/20/2013,ACAD. EDITH SEREI LAVAL       
9311011598,C,,5/8/2013,6/20/2013,LE REST LA TYROLIENNE INC     
9311013073,C,,5/8/2013,6/20/2013,THURSDAY/ HOTEL MONTAGNE      
9311034681,C,,5/8/2013,6/20/2013,RESTAURANT L EXPRESS          
9311036009,C,,5/8/2013,6/20/2013,CAFE DE PARIS                 
9311039755,C,,5/8/2013,6/20/2013,RESTAURANT D'YOUVILLE         
9311040548,C,,5/8/2013,6/20/2013,MONT TOURBILLON INC           
9311054283,C,,5/8/2013,6/20/2013,"HEBERT, FERLATTE ET ASSOC     "
9311055082,C,,5/8/2013,6/20/2013,IL FOCOLAIO                   
9311081393,C,,5/8/2013,6/20/2013,OPTIQUE SYLVAIN DEMONTIGN     
9311084942,C,,5/8/2013,6/20/2013,DEPOTIUM                      
9311159660,C,,5/8/2013,6/20/2013,RST BUONA NOTTE               
